Symbol,Symbol,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,"Open Int",Vol/OI,IV,Type,DTE,"Exp Date",Time,"Avg IV","20D His Vol"
XLI|20210319|57.00P,XLI,57.00,-40.31%,0.01,0.11,0.20,0.57,-0.51,-47.22%,5,15,0.33,0.00%,Put,7,03/19/21,10/20/20,27.40%,18.69%
XLI|20210319|58.00P,XLI,58.00,-39.26%,0.01,2.51,5.00,0.12,0.07,+140.00%,1,1,1.00,0.00%,Put,7,03/19/21,03/01/21,27.40%,18.69%
XLI|20210319|59.00P,XLI,59.00,-38.21%,0.01,0.07,0.13,0.71,-0.49,-40.83%,43,49,0.88,0.00%,Put,7,03/19/21,10/20/20,27.40%,18.69%
XLI|20210319|60.00P,XLI,60.00,-37.17%,0.02,0.14,0.26,0.01,0.00,unch,1,273,0.00,0.00%,Put,7,03/19/21,03/02/21,27.40%,18.69%
XLI|20210319|61.00P,XLI,61.00,-36.12%,0.03,0.12,0.21,0.01,-0.02,-66.67%,32,815,0.04,0.00%,Put,7,03/19/21,03/04/21,27.40%,18.69%
XLI|20210319|62.00P,XLI,62.00,-35.07%,0.02,0.07,0.12,0.02,0.00,unch,2,243,0.01,0.00%,Put,7,03/19/21,02/25/21,27.40%,18.69%
XLI|20210319|63.00P,XLI,63.00,-34.02%,0.02,0.11,0.20,1.09,-0.77,-41.40%,1,211,0.00,0.00%,Put,7,03/19/21,11/04/20,27.40%,18.69%
XLI|20210319|64.00P,XLI,64.00,-32.98%,0.02,0.11,0.21,0.34,-0.07,-17.07%,25,160,0.16,0.00%,Put,7,03/19/21,12/22/20,27.40%,18.69%
XLI|20210319|65.00P,XLI,65.00,-31.93%,0.03,0.08,0.13,0.05,0.00,unch,4,"1,333",0.00,0.00%,Put,7,03/19/21,02/24/21,27.40%,18.69%
XLI|20210319|66.00P,XLI,66.00,-30.88%,0.04,0.13,0.21,0.05,-0.03,-37.50%,1,"1,860",0.00,0.00%,Put,7,03/19/21,02/17/21,27.40%,18.69%
XLI|20210319|67.00P,XLI,67.00,-29.84%,0.01,0.14,0.26,0.27,-0.14,-34.15%,1,170,0.01,0.00%,Put,7,03/19/21,01/13/21,27.40%,18.69%
XLI|20210319|68.00P,XLI,68.00,-28.79%,0.01,0.07,0.12,0.13,-0.22,-62.86%,2,"1,056",0.00,0.00%,Put,7,03/19/21,02/03/21,27.40%,18.69%
XLI|20210319|69.00P,XLI,69.00,-27.74%,0.01,0.07,0.12,0.04,-0.50,-92.59%,4,136,0.03,0.00%,Put,7,03/19/21,02/23/21,27.40%,18.69%
XLI|20210319|70.00P,XLI,70.00,-26.69%,0.01,0.08,0.15,0.13,0.12,"+1,200.00%",8,154,0.05,0.00%,Put,7,03/19/21,03/03/21,27.40%,18.69%
XLI|20210319|71.00P,XLI,71.00,-25.65%,0.01,0.08,0.15,1.11,1.06,"+2,120.00%",6,317,0.02,0.00%,Put,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|72.00P,XLI,72.00,-24.60%,0.01,0.14,0.26,0.03,-0.26,-89.66%,11,84,0.13,0.00%,Put,7,03/19/21,02/25/21,27.40%,18.69%
XLI|20210319|73.00P,XLI,73.00,-23.55%,0.01,0.06,0.11,0.15,-0.28,-65.12%,2,310,0.01,90.41%,Put,7,03/19/21,02/12/21,27.40%,18.69%
XLI|20210319|74.00P,XLI,74.00,-22.50%,0.01,0.07,0.12,0.01,-0.13,-92.86%,7,187,0.04,69.33%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|75.00P,XLI,75.00,-21.46%,0.02,0.02,0.02,0.02,-0.03,-60.00%,2,"2,117",0.00,71.32%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|76.00P,XLI,76.00,-20.41%,0.01,0.11,0.20,0.03,-1.12,-97.39%,20,87,0.23,85.61%,Put,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|77.00P,XLI,77.00,-19.36%,0.02,0.07,0.12,0.02,-0.02,-50.00%,4,"4,236",0.00,64.32%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|78.00P,XLI,78.00,-18.32%,0.01,0.08,0.14,0.04,0.03,+300.00%,1,866,0.00,73.10%,Put,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|79.00P,XLI,79.00,-17.27%,0.01,0.14,0.26,0.04,-0.02,-33.33%,10,257,0.04,76.43%,Put,7,03/19/21,03/09/21,27.40%,18.69%
XLI|20210319|80.00P,XLI,80.00,-16.22%,0.01,1.40,2.79,0.04,-0.03,-42.86%,3,"5,695",0.00,59.26%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|81.00P,XLI,81.00,-15.17%,0.01,0.14,0.26,0.27,0.09,+50.00%,86,209,0.41,67.94%,Put,7,03/19/21,02/23/21,27.40%,18.69%
XLI|20210319|82.00P,XLI,82.00,-14.13%,0.01,0.14,0.27,0.03,-0.06,-66.67%,2,"2,034",0.00,64.17%,Put,7,03/19/21,03/10/21,27.40%,18.69%
XLI|20210319|83.00P,XLI,83.00,-13.08%,0.01,0.09,0.16,0.04,-0.30,-88.24%,12,332,0.04,54.65%,Put,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|84.00P,XLI,84.00,-12.03%,0.01,0.09,0.17,0.03,-0.06,-66.67%,8,303,0.03,42.96%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|85.00P,XLI,85.00,-10.99%,0.02,0.03,0.04,0.04,-0.04,-50.00%,24,544,0.04,41.24%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|85.50P,XLI,85.50,-10.46%,0.01,2.51,5.00,0.35,-0.34,-49.28%,1,1,1.00,125.66%,Put,7,03/19/21,03/05/21,27.40%,18.69%
XLI|20210319|86.00P,XLI,86.00,-9.94%,0.01,0.15,0.28,0.15,-0.46,-75.41%,8,461,0.02,47.66%,Put,7,03/19/21,03/08/21,27.40%,18.69%
XLI|20210319|86.50P,XLI,86.50,-9.41%,0.03,0.16,0.29,0.29,-0.53,-64.63%,30,31,0.97,46.53%,Put,7,03/19/21,03/02/21,27.40%,18.69%
XLI|20210319|87.00P,XLI,87.00,-8.89%,0.04,0.12,0.19,0.06,-0.28,-82.35%,6,614,0.01,36.51%,Put,7,03/19/21,03/11/21,27.40%,18.69%
XLI|20210319|87.50P,XLI,87.50,-8.37%,0.01,0.18,0.34,0.92,0.29,+46.03%,9,24,0.38,43.09%,Put,7,03/19/21,02/26/21,27.40%,18.69%
